评论ID,评论内容,评论图片,点赞数,评论时间,用户昵称,用户主页链接,用户抖音号,用户签名,回复的评论ID,具体的回复对象,回复给谁
7372850961481958153,油条\巴比馒头\面包\奉化牛肉面\啤酒都是小麦,,0,2024-05-25 16:27:19,盛吉-空间,https://www.douyin.com/user/MS4wLjABAAAACEH6f61h5znmHw5fsn3U20wWgtseS1FvNwlaFOcklYM2VBqAnZN5LQIa_Q2l8QOm,76963903522,,7372416400692855591,7372469759667520295,f d
7372881631789220648,小麦都是一季,,0,2024-05-25 18:26:21,『易』永年监控游击队『迅』,https://www.douyin.com/user/MS4wLjABAAAAcJfImEEP_CXCH3-k5tXVhzhjeA0n4pT6FluUzyBJ_R0,jiankongyoujidui,,7372416400692855591,7372469755515011840,不知道
7372892972185486090,你是浙江人？ 有没有不知道吗,,0,2024-05-25 19:10:21,益力多,https://www.douyin.com/user/MS4wLjABAAAAh4VUxMlIMG1oOe4DtR2C-ClMg1QcX9-Ag8OaLOLXhwFw7RYiirYaAl4hIqD5-NzJ,V01855,,7372416400692855591,7372461456702374691,香蕉君倒拔鲁智深
7372917582241858342,河南大部分都在黄河南面,,0,2024-05-25 20:45:49,回忆，去那了,https://www.douyin.com/user/MS4wLjABAAAAutlgmv1RXWFsZd9uGFMxUwRoGvBhJOwiL0nMZq5F1OE,huiyishiyile,,7372416400692855591,7372469233759929088,香蕉君倒拔鲁智深
7372958414492566299,苏州我见也有种小麦的,,0,2024-05-25 23:24:19,静侯、一切安好,https://www.douyin.com/user/MS4wLjABAAAAsnUpDeiFvHkZQq6vL-78RVj5VUuWM4dkjMpbFhqRWXg,,,7372416400692855591,7372469233759929088,香蕉君倒拔鲁智深
7372959820704613154,乐清这边今年有好多种的了,,0,2024-05-25 23:29:47,张同学🤪᭄,https://www.douyin.com/user/MS4wLjABAAAAIquhhWXvTrJiZnmOeocKc0FP1_jMY1oFPPaLsS-1h5A,,,7372416400692855591,7372469233759929088,香蕉君倒拔鲁智深
7373077311652430603,就在萧山宁围,,0,2024-05-26 07:05:44,梓期,https://www.douyin.com/user/MS4wLjABAAAAZ3qUx6JXN-f4x346pBSMl1bWRnBAHM7JX9JU1qUQVkQ,tianziqi520,,7372416400692855591,7372461456702374691,香蕉君倒拔鲁智深
7373079394430157603,种它干啥 恁南方人又不吃面,,0,2024-05-26 07:13:48,你就是最美的风景,https://www.douyin.com/user/MS4wLjABAAAAEXI7gKZdBbwTeuau3rJdf2u4aodGMT-3fHEb5VD1UjDuj9xTlPZrk4my3_9Mg9vK,74187419433,,7372416400692855591,7372468958706320179,尚美秀shangmeishow
7373095491519365940,广东算不算南方 都有种小麦 [尬笑],,0,2024-05-26 08:16:17,逝去的青春啊,https://www.douyin.com/user/MS4wLjABAAAAtMcz05uVN8MDlF3q02OPHOQtfIVrMsmNS6fsmBc3NuM,mmm714609552,,7372416400692855591,7372469233759929088,香蕉君倒拔鲁智深
7373097742849295156,苏州也有小麦,,0,2024-05-26 08:24:58,尛成567,https://www.douyin.com/user/MS4wLjABAAAAHdAKaCnGKL9NLERDEoZRtPDuX2aMq8o9Tm3w4snsOwQ,hangzhou0567,,7372416400692855591,7372469233759929088,香蕉君倒拔鲁智深
7373111104031507235,杭州不是主食大米吗？什么时候也有小麦了？,,0,2024-05-26 09:16:50,雪碧,https://www.douyin.com/user/MS4wLjABAAAAQkH37GzbTg4LPvu9KZFGsrGLGrUbw9pvPEA5GHjqonI,,,7372416400692855591,7372468958706320179,尚美秀shangmeishow
7373117677135086363,我们这也吃的,,0,2024-05-26 09:42:19,尚美秀shangmeishow,https://www.douyin.com/user/MS4wLjABAAAAOJH_UfTuM1s0ixvz1u8ISGrwItOWpTu9NMdgkKt0BKQ,,,7372416400692855591,7373079394430157603,你就是最美的风景
7373118037706294053,麦不是只做面，还可以做小笼包[呲牙],,0,2024-05-26 09:43:42,尚美秀shangmeishow,https://www.douyin.com/user/MS4wLjABAAAAOJH_UfTuM1s0ixvz1u8ISGrwItOWpTu9NMdgkKt0BKQ,,,7372416400692855591,7373111104031507235,雪碧
7373118707634422563,你把我大河南都划河北去了吗[捂脸],,0,2024-05-26 09:46:23,伯爵,https://www.douyin.com/user/MS4wLjABAAAAtYwgzNw6qtCdQdnVBU4Zp-7zMUeJnnVGFrBMomvHW7Y,dyr55a9muy4u,,7372416400692855591,7372469233759929088,香蕉君倒拔鲁智深
7373120281827476235,是不是新湾哪里,,0,2024-05-26 09:52:26,请允许我笑一会,https://www.douyin.com/user/MS4wLjABAAAA36u4Xg1HSL5dZYULq6wWBH2lj6sRNQ-p56rPPXUtT-M,,,7372416400692855591,7372469755515011840,不知道
7373129835012883235,金华这边也在种麦子,,0,2024-05-26 10:29:30,用户0947811360547,https://www.douyin.com/user/MS4wLjABAAAA7WQQuFngAwZBrvQ79F8Z71iMB2bjWsuT1PbFLgGvH5I,35136457231,,7372416400692855591,7372469233759929088,香蕉君倒拔鲁智深
7373143976091747112,我湖北的，只种麦子不种水稻[呲牙],,0,2024-05-26 11:24:22,预言家,https://www.douyin.com/user/MS4wLjABAAAAqqLX2nEiyfOPqNXDM3qy0AJ4Ibe_aYiRlQowjnTlDuCwqVTxHiPs1DkEU-DCp-A1,62367523404,,7372416400692855591,7372469233759929088,香蕉君倒拔鲁智深
7373182662192628489,余杭哪里有,,0,2024-05-26 13:54:30,剋剋,https://www.douyin.com/user/MS4wLjABAAAAwtyRIxY33S9boMcCKaUvDSxqj0FljP8no52FleTvrHc,doll778,,7372416400692855591,7372461456702374691,香蕉君倒拔鲁智深
7373198704637100810,黄河以北夸张了，河南的主产粮区豫东平原在黄河以南,,0,2024-05-26 14:56:44,nnn,https://www.douyin.com/user/MS4wLjABAAAAO7NA4FAMJRgOEaMx_c9w2U4oif1gZl-I-vy3AkC7nyF0OswJSIZvIKwMp1Ftv5x3,31644053623,,7372416400692855591,7372469233759929088,香蕉君倒拔鲁智深
